748	26	1	200
1067	17	4	150
1819	32	3	250
977	30	3	250
427	20	4	300
101	7	3	400
1012	26	1	150
132	18	2	350
1053	21	3	100
528	16	3	50
102	4	3	50
1042	35	2	400
1372	28	4	300
1147	31	3	100
92	23	4	350
434	15	2	200
702	15	4	50
228	11	1	200
1092	31	4	400
1861	30	4	400
476	14	2	350
538	26	1	300
367	21	4	350
583	14	4	400
1018	22	3	100
1682	30	1	400
1275	27	3	150
1307	22	3	50
1027	30	1	300
1267	24	3	250
783	28	3	100
1716	33	4	150
35	23	4	200
569	27	4	300
1399	23	1	250
386	22	4	400
1237	31	1	50
332	34	3	150
1036	24	2	250
269	30	1	300
145	10	3	50
1046	19	3	100
617	31	1	100
265	34	2	300
1352	27	3	100
811	15	4	50
164	22	4	100
493	11	1	400
282	13	2	200
56	28	1	150
1482	34	3	250
1102	20	2	300
840	31	2	300
472	18	1	200
901	28	2	400
566	20	2	400
2008	35	2	350
535	35	2	150
60	6	4	400
490	15	3	150
434	35	4	250
225	34	1	250
84	32	3	50
603	30	3	100
1359	24	4	300
382	7	4	350
1459	30	2	150
355	26	1	100
1359	31	2	300
366	21	2	150
372	29	3	350
2074	34	4	100
400	8	3	300
155	31	2	100
625	23	3	400
226	4	3	250
1679	29	1	200
742	16	1	50
113	32	3	300
123	6	4	200
1014	23	3	150
239	19	1	350
1388	23	3	50
1297	26	4	300
743	15	1	300
833	27	2	50
1019	32	2	50
1311	31	1	100
714	20	1	350
1145	21	2	400
1362	31	3	100
513	20	2	300
83	6	3	250
1385	34	3	400
503	10	3	400
1757	29	1	300
517	22	3	200
832	30	2	100
429	20	4	400
1869	31	2	400
374	21	1	350
748	32	4	300
1306	31	1	200
190	31	3	200
219	35	2	100
1271	30	4	200
1021	22	3	250
1293	30	4	350
794	35	2	150
565	34	1	400
262	19	4	350
1554	25	4	200
342	10	3	250
76	32	3	100
99	17	3	350
1726	33	2	250
538	33	1	400
154	9	1	250
636	27	2	250
815	30	3	400
388	14	1	50
30	18	1	250
1216	32	4	100
98	4	3	250
1019	33	2	150
1857	33	1	100
610	33	2	400
1218	21	3	200
496	18	1	200
49	3	1	400
823	29	1	300
1811	34	4	100
1424	30	1	150
50	29	2	100
922	29	4	250
384	8	3	400
396	25	4	200
745	33	4	400
998	33	4	150
1740	35	1	250
328	22	4	400
836	27	2	200
1370	23	3	50
154	22	2	300
1795	34	4	100
864	15	4	350
1269	22	3	250
1296	34	3	400
719	33	2	50
916	20	4	50
990	22	4	50
423	25	3	300
518	24	4	50
63	26	4	100
598	22	4	250
1764	34	3	200
717	32	3	50
706	24	3	100
184	16	2	150
821	25	1	100
1113	26	1	300
1756	31	1	250
329	9	3	100
718	21	2	100
764	13	3	50
1842	31	4	350
1611	34	2	350
1321	27	2	400
467	25	1	50
1112	31	1	200
162	11	2	400
784	16	3	150
1481	25	4	350
62	18	4	150
445	18	4	350
1294	33	4	100
1047	29	3	50
848	32	1	100
1224	23	4	250
679	31	4	250
1364	32	4	350
563	28	1	50
1568	29	3	300
485	15	3	150
674	13	1	250
518	18	1	400
30	12	3	250
475	22	2	150
84	17	1	400
1308	33	4	350
125	26	2	50
249	33	4	250
338	29	1	100
1486	34	3	50
967	21	3	300
1784	35	1	50
313	31	3	200
1564	26	2	50
1035	18	3	250
644	17	3	50
800	26	2	250
499	25	3	400
298	31	2	50
537	11	2	50
193	33	3	50
215	33	3	150
1206	29	3	300
1639	30	3	150
807	27	3	300
950	31	3	300
1135	35	3	150
754	25	1	50
672	22	2	400
995	28	1	100
693	24	2	100
1246	26	1	350
1169	34	3	400
1693	27	1	200
397	23	2	50
796	28	4	250
537	9	2	100
1281	31	2	100
171	9	4	300
67	15	1	300
561	25	2	150
166	31	4	150
1523	31	3	400
2004	32	1	100
303	31	2	100
618	22	1	350
205	20	1	250
1104	19	1	100
660	14	1	150
177	14	4	250
1269	27	4	300
778	30	3	300
927	33	3	250
175	17	2	250
681	29	4	400
22	19	4	400
120	25	1	100
1023	35	3	400
603	11	4	150
118	2	1	150
738	17	4	50
347	15	3	200
19	3	4	50
1022	17	4	300
521	24	2	300
501	20	3	250
493	35	3	50
1568	30	4	350
1796	33	4	150
123	7	4	50
1152	19	4	50
380	24	2	50
846	21	2	50
315	29	2	100
524	23	4	50
759	19	4	250
354	8	1	100
1020	32	2	100
722	21	3	200
222	8	1	300
538	30	4	200
1061	23	4	300
126	9	3	300
816	33	4	50
710	31	3	100
151	13	2	100
47	10	3	400
1398	28	1	200
558	26	4	150
634	24	1	350
1520	29	4	150
575	23	2	50
1872	31	4	400
832	20	2	200
869	35	4	300
2006	35	2	50
1439	35	4	250
1353	30	3	200
726	28	3	100
1307	25	1	300
550	21	1	150
2068	33	2	200
940	16	4	400
23	8	3	250
299	30	4	350
1203	23	2	250
1340	33	2	50
220	13	1	150
1429	33	3	300
1552	25	3	350
554	29	1	400
749	27	3	300
1697	27	2	150
241	30	3	200
1256	25	2	150
334	11	2	200
180	24	1	200
154	17	1	200
856	18	2	400
192	8	4	350
1224	22	2	300
1400	27	3	300
861	27	1	250
1606	34	2	300
508	29	4	100
1038	19	1	50
453	30	4	200
39	22	4	300
102	28	2	50
745	22	3	250
970	29	4	250
66	22	1	100
1796	34	1	350
563	14	4	350
1602	31	2	200
221	23	4	250
2085	35	2	300
319	20	3	200
914	15	1	200
815	17	2	100
1053	19	2	150
1649	29	3	400
1296	32	3	200
2138	35	1	200
1326	32	3	350
808	35	3	200
762	14	1	50
863	32	4	200
242	28	3	50
806	25	1	200
1111	18	3	300
359	9	2	400
747	33	2	400
937	21	2	50
1420	25	3	250
446	35	3	200
667	34	2	50
505	30	4	400
1304	27	1	350
804	22	2	200
1490	24	3	300
1999	35	4	350
754	29	2	50
497	16	1	350
1425	30	4	350
268	25	1	300
857	16	4	100
594	19	4	200
132	9	3	50
1482	24	2	300
76	3	3	150
597	26	1	100
1034	33	1	250
1827	35	1	350
206	26	3	200
571	24	4	350
1544	31	3	250
883	17	4	250
1106	22	3	300
963	28	2	50
169	17	2	200
963	21	3	100
401	10	2	50
127	15	3	200
167	4	1	300
317	22	1	150
498	20	2	400
320	6	1	350
1088	26	3	150
1074	22	4	400
61	35	3	50
1073	20	1	400
457	8	1	150
244	5	3	150
467	29	2	350
1993	35	3	50
251	34	1	100
1929	33	1	150
535	12	3	250
618	30	1	250
82	8	3	300
62	7	1	400
926	33	3	50
819	21	3	50
474	17	3	400
3	2	2	250
197	9	1	300
1058	22	2	150
521	26	3	350
582	31	2	200
1918	31	2	300
1185	19	2	400
733	22	3	150
705	28	4	400
166	7	1	50
1109	34	3	400
341	17	2	350
1064	29	4	100
198	25	3	200
846	16	2	350
1152	29	4	150
1420	30	2	300
842	25	4	300
32	31	1	100
724	19	3	50
1428	32	1	300
1780	32	4	50
1862	34	1	300
46	26	4	300
377	24	2	50
1320	23	2	50
1284	22	4	100
633	17	1	150
1491	33	3	200
766	19	2	300
1550	30	1	350
1048	33	2	100
1704	30	1	50
703	34	3	50
167	17	4	250
229	19	1	100
1541	34	1	150
663	15	2	400
954	26	1	350
837	15	1	400
163	26	4	200
479	17	3	300
225	16	2	50
122	17	1	400
510	34	1	150
364	19	4	200
1063	21	3	250
1823	32	4	300
417	34	2	400
731	22	1	400
1355	24	1	100
662	19	2	100
415	12	4	400
547	11	4	200
687	31	1	250
1518	30	4	350
