2000	1250	894	18	3	150	434	35	3
16000	10000	728	31	1	350	176	31	3
4000	1250	191	26	2	400	80	35	3
16000	20000	894	28	3	150	974	31	2
4000	625	257	21	4	400	681	27	4
2000	10000	112	14	4	350	584	22	3
4000	20000	528	34	4	250	1008	30	3
500	2500	497	24	2	150	104	34	3
4000	1250	92	35	2	350	1260	31	1
4000	5000	516	26	4	250	775	19	4
4000	2500	110	10	4	350	1238	26	4
8000	1250	433	35	2	300	611	30	2
2000	5000	1281	30	4	400	413	20	2
16000	2500	666	29	4	250	285	16	3
8000	10000	298	22	1	400	1390	34	2
8000	10000	453	18	1	150	207	32	1
8000	625	428	17	1	400	514	30	4
1000	625	197	21	3	400	1644	34	1
4000	2500	984	18	2	350	125	29	3
16000	1250	1066	32	3	350	838	32	1
1000	2500	272	31	1	400	369	10	1
4000	625	312	25	3	350	49	15	3
500	5000	290	20	3	50	104	13	2
2000	10000	1315	34	1	400	98	21	2
4000	2500	184	15	3	350	290	18	2
1000	2500	386	26	1	250	574	31	2
8000	20000	806	30	4	150	243	33	2
8000	2500	270	25	1	350	469	20	2
16000	10000	996	20	3	200	52	8	4
8000	625	809	30	2	50	641	27	4
500	1250	129	7	2	300	821	31	1
4000	5000	767	35	2	50	649	17	4
500	2500	1376	28	1	50	54	21	3
8000	5000	486	30	2	350	1000	24	4
8000	10000	76	4	4	300	852	33	3
4000	10000	718	32	1	250	101	24	1
8000	625	1167	28	4	250	120	20	1
4000	5000	242	25	1	200	1470	32	1
8000	2500	25	18	3	350	1016	29	3
16000	625	143	9	2	100	299	25	4
2000	1250	169	15	1	50	703	32	2
2000	20000	415	15	1	400	351	11	2
500	20000	39	11	1	150	708	32	4
500	1250	493	24	4	300	361	31	1
2000	5000	1134	30	1	250	330	26	2
500	2500	608	26	4	200	278	28	4
16000	2500	319	28	2	350	1235	26	3
16000	5000	473	21	2	300	129	22	2
1000	2500	1860	35	1	400	81	11	1
1000	20000	627	17	3	250	487	25	2
500	5000	1817	31	2	350	75	15	2
8000	10000	156	21	4	200	792	34	4
2000	20000	85	13	3	100	697	34	2
4000	1250	41	33	3	350	1775	33	4
500	2500	763	26	3	250	770	27	3
500	10000	129	18	3	300	87	35	4
500	2500	440	12	2	250	251	10	3
4000	2500	462	16	4	100	51	35	2
8000	625	533	31	2	200	1049	24	3
4000	20000	666	26	1	350	227	12	3
1000	20000	172	33	1	350	1747	33	3
500	5000	178	32	2	100	801	33	2
2000	2500	902	27	1	350	300	25	2
500	5000	28	3	1	100	1113	26	1
500	1250	739	29	3	100	432	25	1
8000	625	617	34	2	400	961	33	4
500	5000	779	24	1	250	800	34	3
8000	5000	722	23	3	150	117	8	2
1000	20000	230	8	2	400	707	30	4
8000	1250	1019	35	1	350	262	15	2
2000	2500	970	32	1	100	140	30	4
4000	5000	168	23	4	50	22	5	3
500	625	1174	31	2	150	173	20	4
16000	20000	60	13	2	350	156	15	4
1000	20000	450	34	1	250	120	35	1
16000	625	584	35	3	250	519	15	1
8000	10000	470	16	4	200	352	16	4
500	10000	94	7	4	250	1291	35	3
500	625	689	28	1	150	465	21	1
8000	5000	141	16	1	200	49	4	1
8000	1250	537	29	2	300	205	30	2
2000	20000	764	33	2	100	294	8	1
2000	20000	629	23	4	250	340	26	3
500	2500	844	24	1	150	235	23	3
4000	5000	729	22	4	100	185	21	4
8000	2500	810	24	1	200	244	12	2
2000	2500	1178	28	2	100	288	28	4
16000	1250	39	29	4	250	494	24	2
16000	2500	499	31	3	150	233	27	1
1000	10000	13	5	3	200	1266	23	3
4000	20000	819	18	3	200	130	34	1
1000	1250	256	27	2	250	1392	35	4
1000	10000	1729	33	4	300	178	26	4
1000	1250	655	14	4	350	149	24	2
16000	5000	947	34	2	400	354	35	3
500	20000	457	27	3	200	878	26	4
16000	20000	792	28	4	100	1010	31	2
2000	10000	87	26	3	150	725	31	4
8000	625	389	34	4	50	1240	31	1
500	2500	564	34	1	300	1026	26	1
8000	20000	462	29	4	150	429	11	2
2000	5000	603	23	4	200	882	34	1
8000	20000	851	18	3	400	352	22	1
16000	2500	86	22	1	400	959	21	3
8000	10000	376	25	1	150	779	29	4
500	2500	70	14	4	300	190	6	1
8000	20000	1027	34	1	100	298	15	1
8000	20000	528	16	4	350	26	1	2
2000	1250	1141	34	4	100	490	34	3
8000	1250	1740	29	4	150	34	16	2
1000	2500	442	23	2	100	844	34	1
2000	625	205	12	1	100	335	18	3
16000	20000	1237	32	3	350	111	24	2
8000	625	844	35	1	250	271	9	3
4000	2500	32	11	4	150	451	32	4
1000	20000	528	30	4	300	1093	32	1
1000	20000	478	33	3	50	259	31	4
1000	625	1074	26	4	350	176	8	4
4000	625	401	29	1	250	883	20	4
16000	1250	55	20	2	400	583	10	3
8000	5000	961	28	2	400	283	12	4
2000	2500	285	29	1	300	279	16	3
4000	1250	613	26	3	400	700	27	3
16000	10000	44	13	1	350	115	8	1
500	625	1419	35	3	350	15	5	3
1000	625	1641	33	3	300	415	34	4
2000	5000	313	11	3	50	748	25	2
16000	20000	111	13	1	100	299	16	2
16000	10000	119	25	3	250	368	11	4
500	1250	267	32	1	100	1197	25	3
500	20000	250	16	1	100	684	30	3
1000	2500	181	17	2	200	1781	35	1
500	1250	421	24	2	350	823	32	4
500	20000	192	12	3	150	1270	29	1
16000	625	401	29	3	400	604	19	4
1000	5000	106	7	4	200	548	18	1
2000	5000	39	11	3	250	969	25	3
16000	5000	423	22	1	50	405	13	1
8000	1250	336	33	2	400	789	27	2
1000	1250	250	21	3	250	104	13	3
8000	2500	413	34	2	50	663	16	1
2000	20000	24	3	1	350	632	18	4
2000	5000	114	23	1	150	55	13	4
16000	625	301	29	3	50	692	17	1
500	5000	204	21	3	250	292	9	3
16000	2500	1301	32	3	250	619	32	2
500	625	1168	23	1	250	40	13	3
2000	5000	851	26	3	50	28	10	1
8000	20000	422	34	4	350	1455	33	2
500	20000	1525	28	3	250	61	17	1
1000	20000	767	28	4	100	584	18	1
2000	625	1010	26	3	350	377	33	4
8000	10000	67	15	3	250	120	3	3
500	5000	919	26	4	50	588	35	3
1000	5000	86	28	3	100	994	27	2
4000	5000	600	32	3	250	182	20	2
500	20000	525	11	4	200	284	21	4
2000	10000	861	24	3	250	130	20	3
1000	20000	386	24	4	350	165	12	2
500	625	51	2	2	150	301	25	1
4000	2500	1119	29	2	350	472	28	4
1000	5000	424	24	4	350	224	11	1
2000	20000	78	28	3	150	1298	32	4
4000	10000	1753	31	2	150	201	30	3
2000	20000	243	31	4	50	992	35	4
4000	10000	740	31	3	100	989	35	2
8000	2500	302	19	4	350	1297	34	1
16000	20000	143	3	2	200	268	32	3
4000	10000	308	21	2	100	389	30	4
4000	2500	350	34	3	100	837	25	4
4000	1250	179	7	4	300	82	8	2
8000	1250	1474	31	4	300	200	34	2
1000	5000	259	35	3	300	456	31	3
2000	20000	631	33	1	350	419	10	2
2000	5000	65	26	2	250	1768	33	2
1000	1250	55	14	3	300	1658	30	3
2000	5000	731	25	1	250	870	29	1
2000	2500	734	29	3	400	400	26	4
4000	5000	415	19	3	250	269	29	2
8000	5000	1502	30	4	50	188	34	4
8000	20000	484	35	2	250	1116	25	1
1000	10000	57	15	3	100	160	3	1
16000	5000	121	15	1	200	1427	34	2
1000	2500	556	20	4	150	432	17	3
500	5000	1631	34	4	300	70	12	1
2000	20000	553	17	3	150	61	5	3
16000	5000	363	23	3	300	970	29	2
1000	2500	199	6	4	350	399	29	3
16000	10000	821	29	1	400	172	30	4
500	20000	1092	35	2	350	478	18	2
2000	10000	897	20	4	300	355	23	2
1000	10000	363	31	4	150	195	25	2
8000	5000	67	32	1	250	587	31	1
2000	20000	424	35	2	100	1508	34	4
8000	5000	242	20	4	350	78	28	2
16000	5000	49	23	1	350	1152	33	2
2000	1250	347	10	1	100	44	25	1
8000	2500	380	33	2	350	631	29	3
4000	5000	44	5	2	200	947	24	3
1000	1250	561	20	3	100	660	32	1
500	625	989	29	4	150	140	6	3
16000	2500	173	8	3	400	1307	34	4
4000	625	23	19	2	100	1071	27	3
500	5000	24	19	4	400	129	29	2
8000	10000	21	21	4	150	70	31	1
1000	2500	259	21	2	150	293	13	3
2000	625	1299	35	3	250	617	24	1
4000	5000	1606	33	4	50	146	34	4
2000	10000	448	12	1	150	539	33	2
8000	20000	329	34	4	400	325	16	2
4000	10000	15	13	1	250	186	29	2
16000	1250	1204	34	4	400	789	35	2
2000	20000	250	7	2	350	158	34	2
500	10000	43	34	2	50	643	26	2
1000	10000	854	15	1	50	80	19	2
2000	5000	684	29	4	50	822	27	4
1000	5000	871	30	2	350	1002	33	2
16000	20000	192	23	1	400	211	14	1
1000	625	487	31	2	300	1306	35	1
4000	5000	594	15	2	100	132	31	3
1000	5000	383	29	1	200	984	28	2
2000	2500	148	20	3	100	172	16	1
500	625	298	30	3	300	904	29	4
1000	1250	178	34	1	300	170	13	2
4000	2500	564	25	4	300	860	26	2
1000	2500	278	18	4	400	493	15	2
16000	1250	655	26	2	350	112	15	3
500	10000	145	13	2	150	1102	29	4
8000	20000	720	28	4	300	695	28	3
1000	625	623	24	4	300	978	34	2
1000	5000	783	21	3	100	70	9	2
500	2500	914	20	1	400	311	34	2
8000	2500	24	17	4	350	832	29	1
1000	5000	746	33	2	300	308	31	2
4000	2500	1262	24	4	400	38	31	1
4000	5000	441	33	3	350	946	19	2
16000	1250	90	32	1	50	944	20	2
16000	1250	440	22	2	250	1121	30	1
500	1250	375	32	2	100	464	28	4
8000	625	232	33	1	350	45	10	3
500	2500	175	10	4	300	1010	34	4
8000	20000	904	28	1	200	46	26	3
8000	1250	751	25	3	250	810	28	4
4000	10000	841	33	3	400	378	31	3
16000	5000	1042	26	1	150	691	33	1
8000	20000	76	27	2	300	402	10	3
500	2500	585	27	3	350	64	20	4
8000	625	75	4	4	300	223	9	3
4000	10000	67	27	3	100	1193	26	2
8000	625	60	17	4	150	625	15	2
4000	2500	131	9	3	350	1023	21	3
16000	20000	207	12	4	250	347	28	1
500	1250	947	34	3	50	227	22	1
4000	2500	1384	35	1	350	6	4	2
500	625	278	34	2	300	209	18	4
4000	1250	116	33	3	200	139	8	2
8000	5000	538	31	4	250	598	23	4
16000	10000	1003	25	3	350	372	33	3
8000	20000	626	26	4	100	1242	35	4
4000	20000	158	30	1	50	203	10	3
500	2500	116	26	1	150	801	30	2
500	10000	125	11	2	100	660	24	2
1000	10000	1727	34	1	50	75	13	4
4000	2500	1643	32	3	350	308	30	3
2000	10000	1062	25	2	300	236	25	2
1000	2500	408	24	1	250	148	16	2
16000	625	463	27	2	150	849	25	3
16000	10000	146	16	2	200	657	25	2
2000	10000	354	28	2	400	196	34	4
8000	5000	70	18	4	100	73	11	3
4000	5000	561	24	3	50	32	14	4
500	5000	2093	35	1	150	78	21	2
1000	5000	73	35	4	300	51	8	4
8000	625	1423	29	3	100	402	29	2
2000	625	534	11	4	200	90	10	2
500	20000	1125	20	4	100	119	18	2
2000	1250	282	19	1	150	753	30	2
