1206	28	3	250	30	14	1
207	9	4	300	136	8	4
408	16	1	200	234	26	1
445	16	1	150	52	24	3
1402	31	3	100	477	32	1
117	9	3	300	240	10	1
213	30	2	250	114	20	2
1184	35	1	100	697	33	2
577	13	1	350	225	33	3
1500	33	4	300	231	21	2
885	32	4	200	15	5	2
727	22	1	350	842	29	2
680	27	2	150	257	7	3
278	11	3	250	43	12	2
912	19	2	150	37	32	3
298	21	1	200	692	24	3
726	21	3	300	386	31	1
285	31	1	300	845	18	4
119	18	2	50	292	13	2
674	16	2	50	124	31	2
38	3	1	100	170	6	1
318	29	3	150	76	10	2
152	27	4	300	1136	21	4
1940	33	3	100	33	9	2
428	32	4	150	737	24	1
524	15	2	100	767	27	3
368	12	2	50	364	23	4
1231	35	1	50	326	32	1
28	22	1	400	780	34	2
14	1	2	350	1412	33	2
212	21	4	300	149	32	2
1083	29	1	400	632	27	2
105	30	3	300	1129	28	1
104	6	2	100	588	19	4
50	30	2	300	558	17	4
116	22	3	100	744	34	4
897	35	2	350	316	33	2
348	12	2	150	347	14	2
877	35	1	350	592	35	1
199	7	1	400	504	26	3
57	6	3	150	1376	29	1
379	23	2	400	35	33	4
967	33	4	300	161	10	4
375	31	2	50	308	35	4
176	23	1	300	299	20	2
79	33	3	100	34	11	2
38	14	3	250	1822	32	4
1343	28	2	350	385	25	2
177	35	3	250	879	25	3
610	32	4	100	548	32	2
772	22	4	150	205	25	1
102	26	4	350	46	24	3
1160	35	3	350	176	7	3
47	20	4	50	559	19	4
1210	30	1	200	196	23	2
114	14	1	250	394	14	3
436	23	3	350	622	25	4
30	23	3	350	1658	33	2
873	26	3	350	256	20	4
381	19	1	350	474	19	4
159	15	4	200	205	6	2
901	32	2	150	700	34	1
593	30	1	300	140	15	2
413	24	3	50	90	27	3
496	29	2	200	655	35	4
473	22	3	350	126	16	4
388	25	1	50	711	32	2
45	28	1	200	1414	35	1
686	17	3	300	125	34	1
441	35	1	300	14	14	3
765	27	3	200	186	30	4
324	19	2	400	890	35	4
639	33	4	300	553	22	2
1042	34	1	350	504	27	3
778	30	1	350	611	35	3
527	10	2	300	96	28	4
388	33	2	200	456	13	3
137	13	2	50	771	19	3
50	29	1	400	289	35	1
490	20	4	350	180	34	3
137	8	2	50	926	29	1
661	20	1	350	211	22	3
87	11	2	400	1134	33	3
366	9	4	350	246	34	3
1120	28	2	300	79	13	4
41	21	3	150	36	17	1
